Palavra,Link,Instituicao
A,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aSm_Prog001.mp4,GoiásLibras · base nacional
ABACATE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abacateSm_Prog001.mp4,GoiásLibras · base nacional
ABACAXI,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abacaxiSm_Prog001.mp4,GoiásLibras · base nacional
ABAFAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abafarSm_Prog001.mp4,GoiásLibras · base nacional
ABAIXO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abaixoSm_Prog001.mp4,GoiásLibras · base nacional
ABAIXO-ASSINADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abaixo-assinadoSm_Prog001.mp4,GoiásLibras · base nacional
ABAJUR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abajurSm_Prog001.mp4,GoiásLibras · base nacional
ABANAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abanarSm_Prog001.mp4,GoiásLibras · base nacional
ABANDONAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abandonar1Sm_Prog001.mp4,GoiásLibras · base nacional
ABANDONAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abandonar2Sm_Prog001.mp4,GoiásLibras · base nacional
ABARROTADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abarrotadoSm_Prog001.mp4,GoiásLibras · base nacional
ABASTADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abastadoSm_Prog001.mp4,GoiásLibras · base nacional
ABATIDO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abatidoSm_Prog001.mp4,GoiásLibras · base nacional
ABATIMENTO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abatimentoSm_Prog001.mp4,GoiásLibras · base nacional
ABDICAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abdicarSm_Prog001.mp4,GoiásLibras · base nacional
ABDÔMEN,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abdomenSm_Prog001.mp4,GoiásLibras · base nacional
ABELHA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abelhaSm_Prog001.mp4,GoiásLibras · base nacional
